Object;Year;Month;Day;Hours;Minutes;Distance (LD);Velocity (km/s);Impact Probability;Hazard Scale;Danger;Diameter;Id;Range
(2007 EO88)          ; 1988;Mar; 15;15;34;17;12.2;8.60E-06;-6.5;0;22.5;;1                                                                                                                                                                                                                                                              
(2007 YS56)          ; 1988;Jan; 19;21;31;70.3;6.7;4.20E-06;-6.4;0;31;;1                                                                                                                                                                                                                                                              
(2008 EA9)           ; 1988;Aug; 12;4;24;60.2;3.1;2.30E-05;-6.7;0;12.3;;1                                                                                                                                                                                                                                                              
(2009 EW)            ; 1988;Aug; 15;10;31;63.1;8.7;1.70E-06;-6.7;0;22.5;;1                                                                                                                                                                                                                                                              
(2010 UK)            ; 1988;Oct; 15;20;30;1.1;6.3;0.00052 ;-4.4;0;19;;1                                                                                                                                                                                                                                                              
(2012 SU9)           ; 1988;Jan; 09;16;54;2.2;10.9;1.40E-06;-7.4;0;15.8;;1                                                                                                                                                                                                                                                              
(2014 HN2)           ; 1988;Mar; 20;22;40;54.5;6.9;9.80E-09;-9.2;0;21.5;;1                                                                                                                                                                                                                                                              
(2014 QN266)         ; 1988;Oct; 07;9;37;52.5;2.9;2.00E-06;-6.7;0;24;;1                                                                                                                                                                                                                                                              
(2014 QN266)         ; 1988;Apr; 01;18;19;10.9;2.2;2.00E-06;-6.7;0;24;;1                                                                                                                                                                                                                                                              
(2014 WZ365)         ; 1988;Oct; 04;7;52;74;17.1;0.28    ;-9.7;0;27.5;;1                                                                                                                                                                                                                                                              
(2015 HE1)           ; 1988;Apr; 20;9;8;4.9;14.2;1.40E-07;-7.9;0;21.5;;1                                                                                                                                                                                                                                                              
(2016 AB166)         ; 1988;Jan; 07;8;30;35.9;19.1;3.10E-07;-6.3;1;56.5;;1                                                                                                                                                                                                                                                              
(2017 RZ15)          ; 1988;Dec; 22;11;35;60.3;5.5;5.00E-05;-6;0;15.9;;1                                                                                                                                                                                                                                                              
(2003 WT153)         ; 1989;Oct; 25;4;11;15.8;3.5;2.70E-05;-7;0;10.8;;1                                                                                                                                                                                                                                                              
(2006 QV89)          ; 1989;Aug; 27;13;55;42.3;8.5;5.00E-05;-3.3;0;37.5;;1                                                                                                                                                                                                                                                              
(2007 EO88)          ; 1989;Sep; 26;14;7;38.4;13.8;8.60E-06;-6.5;0;22.5;;1                                                                                                                                                                                                                                                              
(2007 YS56)          ; 1989;May; 03;13;55;44.5;6.8;4.20E-06;-6.4;0;31;;1                                                                                                                                                                                                                                                              
(2008 HJ)            ; 1989;Apr; 16;9;47;37.9;10.6;0.00026 ;-4.8;0;29.5;;1                                                                                                                                                                                                                                                              
(2013 PG10)          ; 1989;Feb; 01;13;45;19.5;5.4;8.60E-06;-6.6;0;11.7;;1                                                                                                                                                                                                                                                              
(2013 PS13)          ; 1989;Aug; 11;10;20;15.3;16.1;2.40E-06;-6.8;0;15.8;;1                                                                                                                                                                                                                                                              
(2015 KG158)         ; 1989;Nov; 24;10;39;60.2;12.3;0.00024 ;-5.4;0;9.4;;1                                                                                                                                                                                                                                                              
(2016 CH30)          ; 1989;Feb; 05;11;25;20.6;7.1;7.10E-06;-7;0;10.8;;1                                                                                                                                                                                                                                                              
(2016 SR2)           ; 1989;Sep; 28;6;21;60.4;10.4;3.90E-07;-7.6;0;24.5;;1                                                                                                                                                                                                                                                              
(2016 VB1)           ; 1989;Nov; 15;4;56;7.1;5.9;0.0011  ;-5.6;0;8.1;;1                                                                                                                                                                                                                                                              
(2017 RZ15)          ; 1989;Feb; 15;5;7;69.9;4.3;5.00E-05;-6;0;15.9;;1                                                                                                                                                                                                                                                              
(2000 SG344)         ; 1990;Jul; 08;7;48;59.4;6.1;0.0026  ;-3.2;1;49.5;;1                                                                                                                                                                                                                                                              
(2000 SG344)         ; 1990;Jan; 08;22;29;48.4;3.1;0.0026  ;-3.2;1;49.5;;1                                                                                                                                                                                                                                                              
(2013 GM3)           ; 1990;Jan; 29;10;2;60.8;12.2;0.00015 ;-5.3;0;24;;1                                                                                                                                                                                                                                                              
(2013 PG10)          ; 1990;Jul; 25;0;12;7;6.3;8.60E-06;-6.6;0;11.7;;1                                                                                                                                                                                                                                                              
(2014 QF33)          ; 1990;Aug; 20;0;20;33;25.8;1.40E-07;-6.1;1;79;;1                                                                                                                                                                                                                                                              
(2016 CG18)          ; 1990;Dec; 16;12;16;62.3;3.1;8.80E-05;-6.4;0;8.7;;1                                                                                                                                                                                                                                                              
(2016 WF7)           ; 1990;Feb; 21;15;55;31.1;9;1.00E-07;-9.3;0;7.3;;1                                                                                                                                                                                                                                                              
(2017 FR102)         ; 1990;Nov; 09;4;50;53.4;12.2;6.60E-08;-7.4;1;50;;1                                                                                                                                                                                                                                                              
410777 (2009 FD)     ; 1990;Apr; 03;18;48;58.4;11.4;0.0016  ;-1.8;2;165;;1                                                                                                                                                                                                                                                              
99942 Apophis (2004 M; 1990;Apr; 14;20;44;12.8;6.8;8.90E-06;-2.9;1;495;;1                                                                                                                                                                                                                                                              
(1991 BA)            ; 1991;Jan; 18;17;19;0.4;17.9;1.10E-05;-6.1;0;8.1;;1                                                                                                                                                                                                                                                              
(2002 CB19)          ; 1991;Aug; 05;5;48;43;18.5;0.72    ;-8.7;1;43;;1                                                                                                                                                                                                                                                              
(2006 BC8)           ; 1991;Jan; 17;2;42;35.9;10.5;9.50E-06;-5.6;1;41;;1                                                                                                                                                                                                                                                              
(2009 HC)            ; 1991;Oct; 29;23;40;6.7;4;2.90E-06;-6.2;1;49.5;;1                                                                                                                                                                                                                                                              
(2011 BL45)          ; 1991;Jun; 02;18;23;62.1;5.1;0.00059 ;-4.7;0;17.5;;1                                                                                                                                                                                                                                                              
(2011 CL50)          ; 1991;Feb; 25;2;26;6;3.1;5.00E-05;-6.9;0;13;;1                                                                                                                                                                                                                                                              
(2012 UE34)          ; 1991;Aug; 17;23;38;72.7;4.5;2.70E-07;-6.2;1;94;;1                                                                                                                                                                                                                                                              
(2012 UE34)          ; 1991;Apr; 08;15;55;0.8;5.7;2.70E-07;-6.2;1;94;;1                                                                                                                                                                                                                                                              
(2012 WS3)           ; 1991;May; 20;1;45;13.3;9.8;1.20E-05;-6.6;0;27.5;;1                                                                                                                                                                                                                                                              
(2014 HB177)         ; 1991;Apr; 24;16;17;68.8;11.2;1.70E-06;-7.7;0;10.2;;1                                                                                                                                                                                                                                                              
(2014 JU15)          ; 1991;Jun; 01;20;10;36.5;9.6;5.60E-05;-5.2;1;47;;1                                                                                                                                                                                                                                                              
(2014 KS76)          ; 1991;Aug; 11;16;59;53.5;5.6;4.40E-07;-7.6;0;20.5;;1                                                                                                                                                                                                                                                              
(2015 EG)            ; 1991;Jun; 07;1;19;14.9;9.9;1.30E-07;-7.6;0;31;;1                                                                                                                                                                                                                                                              
(2015 VK1)           ; 1991;Mar; 14;5;6;62.6;13.5;7.70E-07;-7.1;0;20.5;;1                                                                                                                                                                                                                                                              
(2016 AB166)         ; 1991;Jun; 25;11;25;39.1;22.6;3.10E-07;-6.3;1;56.5;;1                                                                                                                                                                                                                                                              
(2016 CG18)          ; 1991;Jul; 30;20;48;39.1;3.2;8.80E-05;-6.4;0;8.7;;1                                                                                                                                                                                                                                                              
(2016 CG18)          ; 1991;May; 05;17;32;42;2.8;8.80E-05;-6.4;0;8.7;;1                                                                                                                                                                                                                                                              
(2016 JB29)          ; 1991;Jun; 05;18;17;12.6;9.2;1.70E-07;-6.9;1;49.5;;1                                                                                                                                                                                                                                                              
(2016 SR2)           ; 1991;May; 06;8;48;72.2;4.3;3.90E-07;-7.6;0;24.5;;1                                                                                                                                                                                                                                                              
(2016 SR2)           ; 1991;Jan; 22;23;15;59;5.1;3.90E-07;-7.6;0;24.5;;1                                                                                                                                                                                                                                                              
(2016 VB1)           ; 1991;Nov; 23;6;24;58;10.5;0.0011  ;-5.6;0;8.1;;1                                                                                                                                                                                                                                                              
(2017 FW90)          ; 1991;Sep; 26;10;6;27.8;6.2;7.40E-06;-7.4;0;10.1;;1                                                                                                                                                                                                                                                              
(2017 HZ4)           ; 1991;Jul; 09;2;42;71.2;2.9;1.60E-05;-5.6;0;29;;1                                                                                                                                                                                                                                                              
(2017 HZ4)           ; 1991;Apr; 16;0;53;41;4.7;1.60E-05;-5.6;0;29;;1                                                                                                                                                                                                                                                              
410777 (2009 FD)     ; 1991;Nov; 03;0;20;63.6;20.8;0.0016  ;-1.8;2;165;;1                                                                                                                                                                                                                                                              
(2000 SZ162)         ; 1992;Oct; 13;13;24;66.9;9.4;1.90E-06;-7.4;0;15.1;;1                                                                                                                                                                                                                                                              
(2002 TY59)          ; 1992;Mar; 04;1;57;66.5;13;1.70E-05;-5.5;0;34;;1                                                                                                                                                                                                                                                              
(2009 HC)            ; 1992;Jul; 05;7;47;66.5;3.6;2.90E-06;-6.2;1;49.5;;1                                                                                                                                                                                                                                                              
(2009 TD17)          ; 1992;Apr; 23;17;56;1.7;6.5;2.30E-05;-6.9;0;12.3;;1                                                                                                                                                                                                                                                              
(2011 BL45)          ; 1992;Aug; 23;2;57;61.5;5.5;0.00059 ;-4.7;0;17.5;;1                                                                                                                                                                                                                                                              
(2011 UC64)          ; 1992;May; 28;8;10;60;9.8;1.70E-05;-7;0;11.5;;1                                                                                                                                                                                                                                                              
(2014 LJ)            ; 1992;Jan; 02;18;59;11.9;4.5;1.50E-05;-7.8;0;8.7;;1                                                                                                                                                                                                                                                              
(2014 WU200)         ; 1992;Dec; 02;12;5;28.2;3.9;4.80E-06;-7.9;0;6.5;;1                                                                                                                                                                                                                                                              
(2014 XM7)           ; 1992;Jan; 17;20;50;39.1;10.1;3.80E-08;-6.7;1;115;;1                                                                                                                                                                                                                                                              
(2015 RN35)          ; 1992;Dec; 30;10;0;36.6;8.8;4.00E-07;-6.2;1;102;;1                                                                                                                                                                                                                                                              
(2015 VO142)         ; 1992;Oct; 07;3;29;44.3;2.2;6.40E-06;-7.7;0;6.8;;1                                                                                                                                                                                                                                                              
(2016 DB)            ; 1992;Apr; 10;9;32;76.2;7.3;0.5     ;-11;0;8.7;;1                                                                                                                                                                                                                                                              
(2017 FW90)          ; 1992;Dec; 18;10;0;45.1;3.8;7.40E-06;-7.4;0;10.1;;1                                                                                                                                                                                                                                                              
(2017 FW90)          ; 1992;Aug; 02;8;15;58;3.5;7.40E-06;-7.4;0;10.1;;1                                                                                                                                                                                                                                                              
(2017 HG4)           ; 1992;May; 24;11;43;20.6;4.5;3.90E-05;-6.6;0;12.9;;1                                                                                                                                                                                                                                                              
(2017 HJ)            ; 1992;Oct; 13;3;40;42.8;11.6;3.40E-06;-7.6;0;13.8;;1                                                                                                                                                                                                                                                              
(1993 HP1)           ; 1993;Apr; 26;11;28;2.2;9.4;4.50E-07;-7.6;0;16.5;;1                                                                                                                                                                                                                                                              
(1993 UA)            ; 1993;Oct; 18;18;57;2.6;9.5;7.10E-07;-6.9;0;35.5;;1                                                                                                                                                                                                                                                              
(2000 LG6)           ; 1993;Jul; 21;8;57;22.4;3.4;0.0019  ;-5.5;0;6.8;;1                                                                                                                                                                                                                                                              
(2002 EM7)           ; 1993;Mar; 11;0;39;49.5;14.2;6.10E-08;-7.3;1;56.5;;1                                                                                                                                                                                                                                                              
(2002 TY59)          ; 1993;Mar; 09;19;12;24.8;9.7;1.70E-05;-5.5;0;34;;1                                                                                                                                                                                                                                                              
(2007 UD6)           ; 1993;Jun; 04;11;40;61.2;10.6;8.80E-05;-6.5;0;9.4;;1                                                                                                                                                                                                                                                              
(2008 ST)            ; 1993;May; 27;15;45;15.3;4.1;0.00016 ;-5.5;0;16.5;;1                                                                                                                                                                                                                                                              
(2009 HC)            ; 1993;Apr; 12;5;0;44;6.8;2.90E-06;-6.2;1;49.5;;1                                                                                                                                                                                                                                                              
(2011 DS)            ; 1993;Aug; 15;18;56;13;7.5;2.70E-05;-6.2;0;18;;1                                                                                                                                                                                                                                                              
(2014 CR13)          ; 1993;Oct; 02;14;2;43.4;10.1;9.10E-05;-4.8;0;31;;1                                                                                                                                                                                                                                                              
(2014 GY44)          ; 1993;Apr; 07;21;8;69;17.2;1.70E-06;-6.3;1;35.5;;1                                                                                                                                                                                                                                                              
(2014 WU200)         ; 1993;Aug; 13;16;52;36.8;2.2;4.80E-06;-7.9;0;6.5;;1                                                                                                                                                                                                                                                              
(2015 VO142)         ; 1993;Feb; 16;5;41;18.4;2.2;6.40E-06;-7.7;0;6.8;;1                                                                                                                                                                                                                                                              
(2016 EU84)          ; 1993;Apr; 14;23;52;11.4;2.2;1.10E-06;-8.4;0;6.8;;1                                                                                                                                                                                                                                                              
(2016 WF7)           ; 1993;Nov; 21;7;33;34.3;9.2;1.00E-07;-9.3;0;7.3;;1                                                                                                                                                                                                                                                              
(2016 WN7)           ; 1993;Feb; 06;17;40;56.7;6.2;2.60E-06;-7.3;0;11.5;;1                                                                                                                                                                                                                                                              
(2017 FW90)          ; 1993;May; 26;23;13;60.6;3.7;7.40E-06;-7.4;0;10.1;;1                                                                                                                                                                                                                                                              
(1994 GK)            ; 1994;Apr; 05;10;50;8.7;15.6;6.90E-05;-3.7;1;62;;1                                                                                                                                                                                                                                                              
(1994 GV)            ; 1994;Apr; 12;3;11;2.7;8.3;0.00016 ;-5.7;0;14.4;;1                                                                                                                                                                                                                                                              
(2002 TY59)          ; 1994;Mar; 16;20;13;27.3;6.7;1.70E-05;-5.5;0;34;;1                                                                                                                                                                                                                                                              
(2008 CM74)          ; 1994;Jun; 17;4;49;5.5;4;1.40E-06;-8.1;0;10.2;;1                                                                                                                                                                                                                                                              
(2008 DB)            ; 1994;Jul; 24;10;47;72.1;4.3;3.70E-05;-5;0;31;;1                                                                                                                                                                                                                                                              
(2008 JL24)          ; 1994;Nov; 21;11;4;46;3.2;2.30E-07;-9.2;0;5.2;;1                                                                                                                                                                                                                                                              
(2008 JL24)          ; 1994;May; 21;11;25;10.4;2.1;2.30E-07;-9.2;0;5.2;;1                                                                                                                                                                                                                                                              
(2008 ST)            ; 1994;Sep; 28;17;34;50.3;7.1;0.00016 ;-5.5;0;16.5;;1                                                                                                                                                                                                                                                              
(2008 ST)            ; 1994;Jan; 15;9;4;58.8;4.3;0.00016 ;-5.5;0;16.5;;1                                                                                                                                                                                                                                                              
(2010 VQ)            ; 1994;Nov; 18;11;14;16.3;3.9;0.00014 ;-5.3;0;12.3;;1                                                                                                                                                                                                                                                              
(2012 SU9)           ; 1994;Sep; 16;12;41;46;14.5;1.40E-06;-7.4;0;15.8;;1                                                                                                                                                                                                                                                              
(2014 WU200)         ; 1994;Apr; 30;16;22;32.4;4.2;4.80E-06;-7.9;0;6.5;;1                                                                                                                                                                                                                                                              
(2016 SK2)           ; 1994;Apr; 11;18;30;72.3;15.7;2.20E-06;-5.9;1;37.5;;1                                                                                                                                                                                                                                                              
(2017 FW90)          ; 1994;Mar; 25;6;41;16.2;5.3;7.40E-06;-7.4;0;10.1;;1                                                                                                                                                                                                                                                              
(1995 CS)            ; 1995;Feb; 02;11;20;5.5;24.8;5.30E-06;-4.8;1;34;;1                                                                                                                                                                                                                                                              
(2002 EM7)           ; 1995;Jul; 01;12;12;47.9;13.9;6.10E-08;-7.3;1;56.5;;1                                                                                                                                                                                                                                                              
(2002 TY59)          ; 1995;Apr; 14;1;27;65.5;5.8;1.70E-05;-5.5;0;34;;1                                                                                                                                                                                                                                                              
(2004 FH)            ; 1995;Feb; 18;0;58;18.1;6;5.40E-06;-6.6;0;31;;1                                                                                                                                                                                                                                                              
(2010 GV23)          ; 1995;Jun; 30;12;39;38.5;4;7.30E-07;-8;0;13;;1                                                                                                                                                                                                                                                              
(2010 RF12)          ; 1995;Apr; 10;11;49;68.1;10.1;0.05    ;-3.3;0;10.2;;1                                                                                                                                                                                                                                                              
(2010 TW54)          ; 1995;Mar; 27;19;35;50.7;11.6;3.20E-05;-6.1;0;13;;1                                                                                                                                                                                                                                                              
(2010 UY7)           ; 1995;Feb; 09;22;14;29.3;6.2;0.00023 ;-6.2;0;8.7;;1                                                                                                                                                                                                                                                              
(2011 EM40)          ; 1995;Sep; 05;9;54;47.1;14.2;1.40E-06;-8;0;10.8;;1                                                                                                                                                                                                                                                              
(2012 DJ54)          ; 1995;Mar; 08;16;22;57.1;9.9;0.00023 ;-6;0;8.1;;1                                                                                                                                                                                                                                                              
(2013 QM48)          ; 1995;Mar; 22;3;4;27.7;7.3;3.80E-06;-7.6;0;14.4;;1                                                                                                                                                                                                                                                              
(2014 CE)            ; 1995;Feb; 02;2;23;6;13.5;2.00E-06;-7.1;0;18;;1                                                                                                                                                                                                                                                              
(2014 TL)            ; 1995;Oct; 03;21;34;17.9;12.1;6.30E-06;-7;0;11.7;;1                                                                                                                                                                                                                                                              
(2014 UD57)          ; 1995;Oct; 06;16;4;27.7;6.9;2.90E-05;-5.3;0;29.5;;1                                                                                                                                                                                                                                                              
(2014 WZ365)         ; 1995;Oct; 04;0;15;58.4;15.8;0.28    ;-9.7;0;27.5;;1                                                                                                                                                                                                                                                              
(2015 EG)            ; 1995;Jun; 01;6;41;33.3;7.6;1.30E-07;-7.6;0;31;;1                                                                                                                                                                                                                                                              
(2016 SU2)           ; 1995;Sep; 25;15;38;23.5;11;4.40E-06;-7.3;0;13;;1                                                                                                                                                                                                                                                              
(1996 TC1)           ; 1996;Sep; 25;14;52;6;24.3;1.30E-06;-5;1;71.5;;1                                                                                                                                                                                                                                                              
(2005 VN5)           ; 1996;Oct; 20;8;42;41.7;4.8;5.00E-05;-5.9;0;17.5;;1                                                                                                                                                                                                                                                              
(2006 HE2)           ; 1996;Apr; 12;2;52;66.2;10.1;1.10E-06;-7.3;0;21.5;;1                                                                                                                                                                                                                                                              
(2008 DB)            ; 1996;Feb; 17;0;15;25.6;8.9;3.70E-05;-5;0;31;;1                                                                                                                                                                                                                                                              
(2008 EX5)           ; 1996;Sep; 26;8;40;64.8;14.8;4.70E-05;-4.2;1;73;;1                                                                                                                                                                                                                                                              
(2010 RF12)          ; 1996;Apr; 06;13;33;43.6;8.2;0.05    ;-3.3;0;10.2;;1                                                                                                                                                                                                                                                              
(2011 DS)            ; 1996;Feb; 25;8;55;50.2;10.4;2.70E-05;-6.2;0;18;;1                                                                                                                                                                                                                                                              
(2011 TO)            ; 1996;Oct; 14;12;47;57.6;5.8;6.00E-06;-5.9;0;24;;1                                                                                                                                                                                                                                                              
(2012 TC4)           ; 1996;Oct; 13;2;3;2;6.4;0.001   ;-4.2;0;19.5;;1                                                                                                                                                                                                                                                              
(2014 JU15)          ; 1996;Jun; 09;14;26;47.9;11.6;5.60E-05;-5.2;1;47;;1                                                                                                                                                                                                                                                              
(2015 XA378)         ; 1996;Jun; 06;22;6;42.5;21.1;4.90E-05;-4.8;1;28.5;;1                                                                                                                                                                                                                                                              
(2016 CH30)          ; 1996;Oct; 10;12;4;22.6;7.2;7.10E-06;-7;0;10.8;;1                                                                                                                                                                                                                                                              
(2017 SS12)          ; 1996;Oct; 04;10;47;71.1;15.5;1.70E-06;-7.4;0;16;;1                                                                                                                                                                                                                                                              
(1997 TC25)          ; 1997;Sep; 28;10;59;6.1;10.2;2.60E-07;-6.7;1;51.5;;1                                                                                                                                                                                                                                                              
