objectId,date,distance,velocity,diameter,impactProbability,hazardScale,impactDamage,name
(2010 CA)2007-02-05T21:28:00.000Z,2007-02-05T21:28:00.000Z,50.28,18.3,59.5,7.40E-09,-6.8,1,(2010 CA)
(2010 GM23)2013-04-14T01:11:00.000Z,2013-04-14T01:11:00.000Z,4.88,13.1,49.5,0.000063,-4.9,1,(2010 GM23)
(2010 GM23)2010-04-13T00:26:00.000Z,2010-04-13T00:26:00.000Z,3.43,13.7,49.5,0.000063,-4.9,1,(2010 GM23)
(2010 JH80)2010-05-05T23:20:00.000Z,2010-05-05T23:20:00.000Z,8.48,26.6,54,0.0000017,-5.2,1,(2010 JH80)
(2010 QG2)2010-09-03T12:14:00.000Z,2010-09-03T12:14:00.000Z,4.56,13.2,59.5,0.0000071,-4.6,1,(2010 QG2)
(2010 RA91)2026-03-22T17:06:00.000Z,2026-03-22T17:06:00.000Z,1.24,10.3,94,6.70E-08,-6.9,1,(2010 RA91)
(2010 RA91)2010-10-07T05:31:00.000Z,2010-10-07T05:31:00.000Z,23.57,8.5,94,6.70E-08,-6.9,1,(2010 RA91)
(2010 RA91)2005-09-23T21:30:00.000Z,2005-09-23T21:30:00.000Z,64.73,15,94,6.70E-08,-6.9,1,(2010 RA91)
(2010 RA91)1976-10-04T12:59:00.000Z,1976-10-04T12:59:00.000Z,12.85,9.3,94,6.70E-08,-6.9,1,(2010 RA91)
(2010 RA91)1971-09-24T11:03:00.000Z,1971-09-24T11:03:00.000Z,63.28,14.9,94,6.70E-08,-6.9,1,(2010 RA91)
(2010 RA91)1943-04-01T18:44:00.000Z,1943-04-01T18:44:00.000Z,72.67,15.6,94,6.70E-08,-6.9,1,(2010 RA91)
(2010 UB)2010-10-21T21:46:00.000Z,2010-10-21T21:46:00.000Z,15.42,8.3,49.5,0.0000036,-5.8,1,(2010 UB)
(2010 UC7)2010-11-02T14:50:00.000Z,2010-11-02T14:50:00.000Z,7.44,13.9,49.5,5.10E-07,-7,1,(2010 UC7)
(2010 UZ7)2010-10-17T21:45:00.000Z,2010-10-17T21:45:00.000Z,13.06,16.6,47,2.20E-09,-8.7,1,(2010 UZ7)
(2010 VO139)2010-11-10T03:34:00.000Z,2010-11-10T03:34:00.000Z,3.05,21.2,22,0.0000016,-7.3,1,(2010 VO139)
(2010 WC9)2010-11-20T19:58:00.000Z,2010-11-20T19:58:00.000Z,23.85,14.1,86.5,0.0000043,-4,1,(2010 WC9)
(2010 XQ)2010-12-06T17:46:00.000Z,2010-12-06T17:46:00.000Z,12.45,8.9,39,2.10E-07,-7.4,1,(2010 XQ)
(2011 AK37)2011-01-03T03:13:00.000Z,2011-01-03T03:13:00.000Z,10.96,9.7,41,0.0000047,-5.6,1,(2011 AK37)
(2011 BF40)2011-02-09T07:56:00.000Z,2011-02-09T07:56:00.000Z,17.92,18.7,47,0.0000012,-5.8,1,(2011 BF40)
(2011 CU46)2011-02-08T02:17:00.000Z,2011-02-08T02:17:00.000Z,4.45,16.4,34,0.000023,-6,1,(2011 CU46)
(2011 CW46)2011-02-09T11:56:00.000Z,2011-02-09T11:56:00.000Z,27.28,16.1,47,5.00E-07,-5.7,1,(2011 CW46)
(2011 DV10)2011-02-07T14:12:00.000Z,2011-02-07T14:12:00.000Z,22.24,13.9,47,0.0000012,-5.9,1,(2011 DV10)
(2011 QF48)2011-08-27T21:15:00.000Z,2011-08-27T21:15:00.000Z,3.37,20.1,35.5,3.10E-07,-6.5,1,(2011 QF48)
(2011 SE191)2011-09-23T00:17:00.000Z,2011-09-23T00:17:00.000Z,7.65,14.3,43,1.60E-08,-8,1,(2011 SE191)
(2011 SL189)2011-10-20T17:51:00.000Z,2011-10-20T17:51:00.000Z,28.83,8.4,45,0.86,-9.4,1,(2011 SL189)
(2011 UM169)2011-10-21T14:10:00.000Z,2011-10-21T14:10:00.000Z,6,13.5,43,0.000033,-4.9,1,(2011 UM169)
(2011 UM169)1929-06-10T13:05:00.000Z,1929-06-10T13:05:00.000Z,33.16,12.9,43,0.000033,-4.9,1,(2011 UM169)
(2011 XC2)2011-12-03T14:21:00.000Z,2011-12-03T14:21:00.000Z,0.9,20.9,100.5,6.70E-07,-4.9,1,(2011 XC2)
(2012 BN123)2012-01-08T03:31:00.000Z,2012-01-08T03:31:00.000Z,58.19,8.8,94,2.80E-09,-8.2,1,(2012 BN123)
(2012 CL17)2012-02-05T23:19:00.000Z,2012-02-05T23:19:00.000Z,4.52,21.8,31,0.0000014,-6.7,1,(2012 CL17)
(2012 EK5)2012-03-22T03:33:00.000Z,2012-03-22T03:33:00.000Z,5.82,15.5,32.5,0.000033,-5.1,1,(2012 EK5)
(2012 ES10)2012-02-29T12:21:00.000Z,2012-02-29T12:21:00.000Z,29.13,22.1,73,0.000001,-5.3,1,(2012 ES10)
(2012 LJ)2065-11-12T08:40:00.000Z,2065-11-12T08:40:00.000Z,8.03,19.3,32.5,0.0000023,-5.8,1,(2012 LJ)
(2012 LJ)2012-06-10T16:44:00.000Z,2012-06-10T16:44:00.000Z,1.63,18.8,32.5,0.0000023,-5.8,1,(2012 LJ)
(2012 LJ)1980-06-06T00:33:00.000Z,1980-06-06T00:33:00.000Z,22.2,20.5,32.5,0.0000023,-5.8,1,(2012 LJ)
(2012 PB20)2025-09-12T19:02:00.000Z,2025-09-12T19:02:00.000Z,55.3,3.7,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)2025-02-09T18:57:00.000Z,2025-02-09T18:57:00.000Z,3.73,4.3,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)2012-08-08T13:03:00.000Z,2012-08-08T13:03:00.000Z,40.51,3.6,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)2012-02-27T03:10:00.000Z,2012-02-27T03:10:00.000Z,25.44,3.3,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)1999-07-10T18:59:00.000Z,1999-07-10T18:59:00.000Z,34.97,5,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)1998-11-09T00:15:00.000Z,1998-11-09T00:15:00.000Z,69.82,3.3,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)1985-08-27T23:19:00.000Z,1985-08-27T23:19:00.000Z,51.82,3.8,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)1985-02-11T17:25:00.000Z,1985-02-11T17:25:00.000Z,1.23,4.2,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)1965-07-28T01:59:00.000Z,1965-07-28T01:59:00.000Z,25.48,5.1,45,0.0000028,-6.6,1,(2012 PB20)
(2012 PB20)1964-02-12T10:12:00.000Z,1964-02-12T10:12:00.000Z,1.62,4.1,45,0.0000028,-6.6,1,(2012 PB20)
(2012 QD8)2012-09-09T01:53:00.000Z,2012-09-09T01:53:00.000Z,16.9,19.5,102,0.0000065,-4,1,(2012 QD8)
(2012 QD8)1975-08-30T14:19:00.000Z,1975-08-30T14:19:00.000Z,52.87,24.7,102,0.0000065,-4,1,(2012 QD8)
(2012 TV)2071-10-11T04:53:00.000Z,2071-10-11T04:53:00.000Z,14.57,15.6,39,0.0000031,-5.8,1,(2012 TV)
(2012 TV)2047-10-18T01:50:00.000Z,2047-10-18T01:50:00.000Z,50.18,12.9,39,0.0000031,-5.8,1,(2012 TV)
(2012 TV)2046-03-22T13:03:00.000Z,2046-03-22T13:03:00.000Z,55.52,12.5,39,0.0000031,-5.8,1,(2012 TV)
(2012 TV)2022-04-05T01:54:00.000Z,2022-04-05T01:54:00.000Z,19.15,18.1,39,0.0000031,-5.8,1,(2012 TV)
(2012 TV)2012-10-07T13:05:00.000Z,2012-10-07T13:05:00.000Z,0.66,16.8,39,0.0000031,-5.8,1,(2012 TV)
(2012 TV)1974-03-31T03:39:00.000Z,1974-03-31T03:39:00.000Z,7.76,16.1,39,0.0000031,-5.8,1,(2012 TV)
(2012 UE34)2041-04-08T00:50:00.000Z,2041-04-08T00:50:00.000Z,0.28,6.1,94,2.70E-07,-6.2,1,(2012 UE34)
(2012 UE34)2034-04-19T17:16:00.000Z,2034-04-19T17:16:00.000Z,31.63,5.5,94,2.70E-07,-6.2,1,(2012 UE34)
(2012 UE34)1998-09-11T09:21:00.000Z,1998-09-11T09:21:00.000Z,73.7,5.5,94,2.70E-07,-6.2,1,(2012 UE34)
(2012 UE34)1998-03-28T07:36:00.000Z,1998-03-28T07:36:00.000Z,46.36,7.3,94,2.70E-07,-6.2,1,(2012 UE34)
(2012 UE34)1991-08-17T21:38:00.000Z,1991-08-17T21:38:00.000Z,72.68,4.5,94,2.70E-07,-6.2,1,(2012 UE34)
(2012 UE34)1991-04-08T13:55:00.000Z,1991-04-08T13:55:00.000Z,0.85,5.7,94,2.70E-07,-6.2,1,(2012 UE34)
(2012 WQ3)2012-11-16T08:38:00.000Z,2012-11-16T08:38:00.000Z,1.9,23.6,35.5,0.55,-8.8,1,(2012 WQ3)
(2013 BR15)2012-12-29T20:02:00.000Z,2012-12-29T20:02:00.000Z,11.29,13.2,43,1.60E-07,-7.1,1,(2013 BR15)
(2013 JM22)2013-05-16T12:12:00.000Z,2013-05-16T12:12:00.000Z,7.89,29.2,94,3.20E-09,-7.4,1,(2013 JM22)
(2013 NH6)2013-06-28T13:50:00.000Z,2013-06-28T13:50:00.000Z,12.34,21,94,1.10E-07,-6.1,1,(2013 NH6)
(2013 RR43)2132-09-20T03:28:00.000Z,2132-09-20T03:28:00.000Z,71.89,24.6,35.5,6.00E-08,-7.1,1,(2013 RR43)
(2013 RR43)2013-09-07T21:32:00.000Z,2013-09-07T21:32:00.000Z,1.47,19.1,35.5,6.00E-08,-7.1,1,(2013 RR43)
(2013 VJ13)2107-10-28T23:53:00.000Z,2107-10-28T23:53:00.000Z,10.74,15.3,71.5,2.00E-09,-8.2,1,(2013 VJ13)
(2013 VJ13)2036-06-09T03:46:00.000Z,2036-06-09T03:46:00.000Z,47.94,15.4,71.5,2.00E-09,-8.2,1,(2013 VJ13)
(2013 VJ13)2013-10-29T18:20:00.000Z,2013-10-29T18:20:00.000Z,4.58,16.3,71.5,2.00E-09,-8.2,1,(2013 VJ13)
(2013 VJ13)2003-06-23T00:58:00.000Z,2003-06-23T00:58:00.000Z,73.35,11.7,71.5,2.00E-09,-8.2,1,(2013 VJ13)
(2013 VJ13)1970-10-29T04:24:00.000Z,1970-10-29T04:24:00.000Z,3.7,16.1,71.5,2.00E-09,-8.2,1,(2013 VJ13)
(2013 WM)2013-11-19T07:19:00.000Z,2013-11-19T07:19:00.000Z,4.09,35.6,73,6.20E-07,-5.4,1,(2013 WM)
(2014 BZ2)2048-01-16T20:12:00.000Z,2048-01-16T20:12:00.000Z,73.57,23.6,34,7.20E-09,-8.4,1,(2014 BZ2)
