objectId,date,distance,velocity,diameter,impactProbability,hazardScale,impactDamage,name
(1991 BA)1991-01-18T16:19:00.000Z,1991-01-18T16:19:00.000Z,0.44,17.9,8.05,0.000011,-6.1,0,(1991 BA)
(1993 HP1)1993-04-26T09:28:00.000Z,1993-04-26T09:28:00.000Z,2.25,9.4,16.5,4.50E-07,-7.6,0,(1993 HP1)
(1993 UA)1993-10-18T16:57:00.000Z,1993-10-18T16:57:00.000Z,2.59,9.5,35.5,7.10E-07,-6.9,0,(1993 UA)
(1994 GV)1994-04-12T01:11:00.000Z,1994-04-12T01:11:00.000Z,2.68,8.3,14.4,0.00016,-5.7,0,(1994 GV)
(2000 LG6)2056-05-10T04:01:00.000Z,2056-05-10T04:01:00.000Z,44.17,5.3,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)2036-06-25T03:09:00.000Z,2036-06-25T03:09:00.000Z,10.86,2.5,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)2029-07-07T22:16:00.000Z,2029-07-07T22:16:00.000Z,43.56,5.1,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)2029-02-11T19:04:00.000Z,2029-02-11T19:04:00.000Z,53.36,3,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)2021-12-28T12:24:00.000Z,2021-12-28T12:24:00.000Z,64.44,4.6,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)2014-11-15T10:56:00.000Z,2014-11-15T10:56:00.000Z,64.11,4.5,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)2007-05-09T14:06:00.000Z,2007-05-09T14:06:00.000Z,32.55,4.3,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)2000-06-02T19:38:00.000Z,2000-06-02T19:38:00.000Z,1.29,2.5,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)1993-07-21T06:57:00.000Z,1993-07-21T06:57:00.000Z,22.39,3.4,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)1986-01-04T12:53:00.000Z,1986-01-04T12:53:00.000Z,66.01,4.7,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 LG6)1978-05-19T03:54:00.000Z,1978-05-19T03:54:00.000Z,70.83,7.5,6.8,0.0019,-5.5,0,(2000 LG6)
(2000 SZ162)2051-10-14T20:42:00.000Z,2051-10-14T20:42:00.000Z,2.6,4.4,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)2042-06-29T16:09:00.000Z,2042-06-29T16:09:00.000Z,51.45,8.1,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)2034-12-20T08:29:00.000Z,2034-12-20T08:29:00.000Z,65.02,4.2,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)2034-07-29T23:19:00.000Z,2034-07-29T23:19:00.000Z,24.72,3.2,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)2026-10-16T01:50:00.000Z,2026-10-16T01:50:00.000Z,19.51,5.7,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)2009-10-12T21:41:00.000Z,2009-10-12T21:41:00.000Z,76.02,10.1,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)2008-06-29T11:25:00.000Z,2008-06-29T11:25:00.000Z,59.17,8.7,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)2000-10-11T10:32:00.000Z,2000-10-11T10:32:00.000Z,8.47,3.5,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)2000-04-08T17:35:00.000Z,2000-04-08T17:35:00.000Z,73.35,5.1,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)1992-10-13T11:24:00.000Z,1992-10-13T11:24:00.000Z,66.87,9.4,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)1983-06-30T18:28:00.000Z,1983-06-30T18:28:00.000Z,10.3,4.8,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2000 SZ162)1975-06-30T20:02:00.000Z,1975-06-30T20:02:00.000Z,11.78,4.9,15.1,0.0000019,-7.4,0,(2000 SZ162)
(2001 BA16)2032-08-02T04:35:00.000Z,2032-08-02T04:35:00.000Z,70.34,5.6,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)2032-01-17T08:10:00.000Z,2032-01-17T08:10:00.000Z,7.21,4.5,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)2022-06-24T03:38:00.000Z,2022-06-24T03:38:00.000Z,46.77,4.2,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)2022-03-21T02:35:00.000Z,2022-03-21T02:35:00.000Z,46.73,3.5,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)2012-05-18T09:59:00.000Z,2012-05-18T09:59:00.000Z,44.98,6.7,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)2011-01-18T15:58:00.000Z,2011-01-18T15:58:00.000Z,71,10,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)2001-08-11T01:52:00.000Z,2001-08-11T01:52:00.000Z,72.13,5.7,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)2001-01-15T19:30:00.000Z,2001-01-15T19:30:00.000Z,0.8,5.1,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)1982-06-24T11:30:00.000Z,1982-06-24T11:30:00.000Z,26,4.2,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)1981-01-18T01:08:00.000Z,1981-01-18T01:08:00.000Z,17.21,4,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 BA16)1960-01-17T06:24:00.000Z,1960-01-17T06:24:00.000Z,1.88,4.9,27.5,0.0000099,-5.3,0,(2001 BA16)
(2001 GP2)2020-10-01T12:59:00.000Z,2020-10-01T12:59:00.000Z,6.09,2.2,18,0.00021,-5,0,(2001 GP2)
(2001 GP2)2019-05-04T12:31:00.000Z,2019-05-04T12:31:00.000Z,62.6,7.3,18,0.00021,-5,0,(2001 GP2)
(2001 GP2)2002-10-17T01:30:00.000Z,2002-10-17T01:30:00.000Z,67.04,7.7,18,0.00021,-5,0,(2001 GP2)
(2001 GP2)2001-12-25T07:30:00.000Z,2001-12-25T07:30:00.000Z,47.02,2.8,18,0.00021,-5,0,(2001 GP2)
(2001 GP2)2001-05-19T16:10:00.000Z,2001-05-19T16:10:00.000Z,10.93,1.9,18,0.00021,-5,0,(2001 GP2)
(2001 GP2)1982-10-19T19:39:00.000Z,1982-10-19T19:39:00.000Z,56.82,6.9,18,0.00021,-5,0,(2001 GP2)
(2002 AN129)2002-01-17T10:16:00.000Z,2002-01-17T10:16:00.000Z,4.65,11.8,24.5,1.30E-07,-7.5,0,(2002 AN129)
(2002 CA26)2002-02-05T10:13:00.000Z,2002-02-05T10:13:00.000Z,2.54,15.3,15.1,7.60E-09,-8.9,0,(2002 CA26)
(2002 TY59)2039-10-03T12:08:00.000Z,2039-10-03T12:08:00.000Z,12.13,9.1,34,0.000017,-5.5,0,(2002 TY59)
(2002 TY59)2038-10-04T04:56:00.000Z,2038-10-04T04:56:00.000Z,54.87,5,34,0.000017,-5.5,0,(2002 TY59)
(2002 TY59)2034-03-22T15:16:00.000Z,2034-03-22T15:16:00.000Z,36.74,6,34,0.000017,-5.5,0,(2002 TY59)
