objectId,date,distance,velocity,diameter,impactProbability,hazardScale,impactDamage,name
(2001 SB170)2001-09-12T04:11:00.000Z,2001-09-12T04:11:00.000Z,45.73,21.1,130,2.90E-08,-6.5,2,(2001 SB170)
(2004 GE2)2004-04-24T11:32:00.000Z,2004-04-24T11:32:00.000Z,12.92,22.2,215,6.50E-08,-5.5,2,(2004 GE2)
(2005 NX55)2005-07-17T14:39:00.000Z,2005-07-17T14:39:00.000Z,53.9,19.7,165,4.60E-08,-5.1,2,(2005 NX55)
(2006 CM10)2140-02-16T06:17:00.000Z,2140-02-16T06:17:00.000Z,51.63,25.4,195,1.80E-07,-5,2,(2006 CM10)
(2006 CM10)2006-02-23T21:16:00.000Z,2006-02-23T21:16:00.000Z,34.34,20.5,195,1.80E-07,-5,2,(2006 CM10)
(2006 WK130)2006-11-23T21:42:00.000Z,2006-11-23T21:42:00.000Z,39.18,17.8,151,2.00E-09,-7.4,2,(2006 WK130)
(2007 PR25)2007-08-20T07:00:00.000Z,2007-08-20T07:00:00.000Z,27.05,27.4,175,1.90E-08,-6.1,2,(2007 PR25)
(2008 FF5)2008-03-23T07:46:00.000Z,2008-03-23T07:46:00.000Z,30.08,37,102,4.80E-07,-4.7,2,(2008 FF5)
(2009 BR5)2009-02-06T13:16:00.000Z,2009-02-06T13:16:00.000Z,27.84,20.4,165,1.70E-07,-5.3,2,(2009 BR5)
(2010 HV20)2010-05-04T14:01:00.000Z,2010-05-04T14:01:00.000Z,36.51,24.6,180,1.30E-07,-5.4,2,(2010 HV20)
(2011 BA60)2011-02-18T07:59:00.000Z,2011-02-18T07:59:00.000Z,50.96,9.9,137,4.60E-09,-6.5,2,(2011 BA60)
(2011 VG9)2011-10-26T05:13:00.000Z,2011-10-26T05:13:00.000Z,38.82,21.5,165,7.70E-07,-5.2,2,(2011 VG9)
(2014 UX34)2075-10-26T19:41:00.000Z,2075-10-26T19:41:00.000Z,61.22,29.9,158.5,1.30E-08,-6.4,2,(2014 UX34)
(2014 UX34)2021-04-21T04:08:00.000Z,2021-04-21T04:08:00.000Z,44.63,23.5,158.5,1.30E-08,-6.4,2,(2014 UX34)
(2014 UX34)2014-10-18T06:55:00.000Z,2014-10-18T06:55:00.000Z,11.52,25.4,158.5,1.30E-08,-6.4,2,(2014 UX34)
(2014 UX34)2012-04-08T14:01:00.000Z,2012-04-08T14:01:00.000Z,59.51,29.7,158.5,1.30E-08,-6.4,2,(2014 UX34)
(2014 UX34)1969-04-08T12:55:00.000Z,1969-04-08T12:55:00.000Z,63.04,29.9,158.5,1.30E-08,-6.4,2,(2014 UX34)
(2015 RD36)2015-08-31T16:20:00.000Z,2015-08-31T16:20:00.000Z,69.03,30.3,137,2.00E-08,-6.1,2,(2015 RD36)
(2017 MA9)2017-07-06T23:30:00.000Z,2017-07-06T23:30:00.000Z,57.31,19.2,195,4.40E-09,-7,2,(2017 MA9)
(2017 PY26)2133-08-26T20:32:00.000Z,2133-08-26T20:32:00.000Z,53.55,16.4,138.5,0.0000012,-5.3,2,(2017 PY26)
(2017 PY26)2017-08-20T16:00:00.000Z,2017-08-20T16:00:00.000Z,23.85,18.4,138.5,0.0000012,-5.3,2,(2017 PY26)
410777 (2009 FD)2185-03-29T06:26:00.000Z,2185-03-29T06:26:00.000Z,3.75,16.2,165,0.0016,-1.8,2,410777 (2009 FD)
410777 (2009 FD)2180-03-22T23:57:00.000Z,2180-03-22T23:57:00.000Z,57.94,20.4,165,0.0016,-1.8,2,410777 (2009 FD)
410777 (2009 FD)2142-10-31T11:09:00.000Z,2142-10-31T11:09:00.000Z,22.03,17.4,165,0.0016,-1.8,2,410777 (2009 FD)
410777 (2009 FD)2141-04-03T04:32:00.000Z,2141-04-03T04:32:00.000Z,42.09,12.7,165,0.0016,-1.8,2,410777 (2009 FD)
410777 (2009 FD)2137-10-25T08:40:00.000Z,2137-10-25T08:40:00.000Z,31.7,13.5,165,0.0016,-1.8,2,410777 (2009 FD)
410777 (2009 FD)2136-03-28T05:06:00.000Z,2136-03-28T05:06:00.000Z,8.45,16.5,165,0.0016,-1.8,2,410777 (2009 FD)
410777 (2009 FD)2103-11-01T11:31:00.000Z,2103-11-01T11:31:00.000Z,31.78,18.2,165,0.0016,-1.8,2,410777 (2009 FD)
410777 (2009 FD)2102-04-03T16:10:00.000Z,2102-04-03T16:10:00.000Z,45.7,12.4,165,0.0016,-1.8,2,410777 (2009 FD)
